V1,V2,V3
-119.339692556634,34.5583333333333,1167
-119.322961165049,34.5583333333333,1393
-119.306229773463,34.5583333333333,1330
-119.289498381877,34.5583333333333,1291
-119.272766990291,34.5583333333333,1347
-119.256035598706,34.5583333333333,1268
-119.23930420712,34.5583333333333,1203
-119.222572815534,34.5583333333333,1074
-119.205841423948,34.5583333333333,1077
-119.189110032362,34.5583333333333,1044
-119.172378640777,34.5583333333333,1042
-119.155647249191,34.5583333333333,1046
-119.138915857605,34.5583333333333,1148
-119.122184466019,34.5583333333333,1146
-119.105453074434,34.5583333333333,1118
-119.088721682848,34.5583333333333,1073
-119.071990291262,34.5583333333333,1081
-119.055258899676,34.5583333333333,1017
-119.038527508091,34.5583333333333,1134
-119.021796116505,34.5583333333333,1217
-119.005064724919,34.5583333333333,1324
-118.988333333333,34.5583333333333,1312
-120.711666666667,34.5416666666667,-100
-120.694935275081,34.5416666666667,-93
-120.678203883495,34.5416666666667,-83
-120.661472491909,34.5416666666667,-74
-120.644741100324,34.5416666666667,-63
-120.628009708738,34.5416666666667,-50
-120.611278317152,34.5416666666667,-36
-120.594546925566,34.5416666666667,-31
-120.577815533981,34.5416666666667,-28
-120.561084142395,34.5416666666667,-24
-120.544352750809,34.5416666666667,-17
-120.527621359223,34.5416666666667,-4
-120.510889967638,34.5416666666667,71
-120.494158576052,34.5416666666667,214
-120.477427184466,34.5416666666667,246
-120.46069579288,34.5416666666667,272
-120.443964401294,34.5416666666667,286
-120.427233009709,34.5416666666667,343
-120.410501618123,34.5416666666667,273
-120.393770226537,34.5416666666667,274
-120.377038834951,34.5416666666667,272
-120.360307443366,34.5416666666667,239
-120.34357605178,34.5416666666667,207
-120.326844660194,34.5416666666667,252
-120.310113268608,34.5416666666667,309
-120.293381877023,34.5416666666667,291
-120.276650485437,34.5416666666667,324
-120.259919093851,34.5416666666667,343
-120.243187702265,34.5416666666667,309
-120.22645631068,34.5416666666667,201
-120.209724919094,34.5416666666667,256
-120.192993527508,34.5416666666667,275
-120.176262135922,34.5416666666667,258
-120.159530744337,34.5416666666667,318
-120.142799352751,34.5416666666667,370
